,Date,Review,Platform
62,2018-05-25,"The food is generally the same here as any other Burger King (BK), but the thing I like most about this BK is the Coca Cola Freestyle machines. Get to choose your own drink and also choose additional flavours as well. Plus it’s free refills...More",TripAdvisor
63,2018-04-29,"This is a first rate Burger King, great staff, friendly and polite, comfortable seating and excellent burgers.",TripAdvisor
64,2018-04-29,i had tried the food and it was good . good to eat but i would say they need to improve the quality a bit more in terms of customer satisfaction of getting burger king feeling,TripAdvisor
65,2018-04-15,"Average food, products out of stock, rude staff. When I spoke to someone on the floor I was told she didn’t have time and to speak with a manager.",TripAdvisor
66,2018-04-01,"Always packed in here, with tourists, probably the cheapest place to eat in central London  
Average queues about 10-15 minutes",TripAdvisor
67,2018-03-25,Normally i do not eat a lot of fast food but 2 sundays in a row i visited this burger king and cashiers are very friendly and also burgers and chips all fresh and hot even the onions in my burger tasted like it sliced...More,TripAdvisor
68,2018-02-17,"Great Burger, lots of chips especially when you need to soak up the alcohol after a heavy night, also un-limited fizzy pop. However let down by no late night/early morning seating in the depth of winter and very Over The Top security staff, but that’s...More",TripAdvisor
69,2018-02-17,"This restaurant is appalling, especially the staff! The performance to me was absolutely disgraceful. I nearly slipped over due to the wet floor and they didn’t put any ‘caution signs’. Someone was probably sick because of their disgusting food. They didn’t even offer to give...More",TripAdvisor
70,2018-02-10,I asked if my fries could be replaced as they were very oily. The cashier rudely replied that I needed to go to the same person that served me. I had to wait 5 minutes just to get my fries eventually replaced. By that time...More,TripAdvisor
71,2018-01-29,"Not much to say really.
Same great food and no frills service.
Lots of other places to eat around but great when you’re in a rush.",TripAdvisor
72,2018-01-14,Visited on Sunday 14th January 2018. Clean premises. Busy but fast processing to get food. Limited downstairs seating. But food was served correctly and fast. Very good quality food too.,TripAdvisor
73,2018-01-08,"Mid range food, quality of service not very good. Food looks and tastes as plastic and is very expensive for street food. Not recommended. Try to find something else. Staff looks like they are boring .",TripAdvisor
74,2018-01-06,"Just typical BK but always, always busy however staff turn orders over very quickly and there is ample seating upstairs and outside.",TripAdvisor
75,2017-12-23,Another decent visit to B.K. unlike most stores this one was clean and the staff were friendly. I'd come back here again.,TripAdvisor
76,2017-11-27,"Located in the pedestrianised area of Leicester Square and opposite The Hyperdrome. Plenty of seating. Clean. Friendly and fast service. Food ok. Coffee good but far too hot, come on guys, who drinks coffee this hot. Good meeting point as very close to Leicester Square...More",TripAdvisor
77,2017-11-19,"Terrible place food was warm staff not helpful and English spoken was poor ,being from Scotland we paid with a Scottish bank note and they refused to take it !!! For being in a busy tourist part of London not good go elsewhere for fast...More",TripAdvisor
78,2017-11-12,"Order Large Whopper meal - no onion,no pickle. It came (very quickly) with both. So had to pick them out. Didn't get a receipt that gave you the option to review the operation and receive a free whopper (when you but fries and regular drink)...More",TripAdvisor
79,2017-11-10,"Visited here on a Sunday evening at around 9pm, was busy but not overly packed. There were 4 couples in front of us in our queue, took 20mins to get served. They had 4 queues and only 2 staff working. For one of the busiest...More",TripAdvisor
80,2017-11-07,"We needed a quick bite, we were in the heart of London, so in we popped.  The meals were as expected.  Interestingly the Vanilla Coke is different to in Australia - much better in London!",TripAdvisor
81,2017-10-12,"As we were on our way to the theatre to see a matinee show, we found this Burger king an ideal pit stop for a quick lunch.  Burger King's Burger King!!  hits the spot, tasty and the coffee was hot!!, service with a smile and...More",TripAdvisor
82,2017-09-23,"This is a busier branch than most and on the downside you can take a while to get served here.  I guess that this is down to the location on the corner of Leicester Square.

The staff never seem particularly happy here in the evenings...More",TripAdvisor
83,2017-09-03,"After being pleasantly surprised by the quality of several fast food 🥘 BK on the Motorway service route M1 - M6  

I thought I'd try another bean burger, whilst waiting for ""American Made"" in Leicester Square ! Imagine my disgust to be presented with a...More",TripAdvisor
84,2017-09-01,"Waited in the queue for ages, definitely gives a new meaning to fast food. Our server was unbelievable slow like she was on her holidays. Upstairs we used the self despensing drink machine.   The cold drink was warm, no ice available and also no gas...More",TripAdvisor
85,2017-08-23,"Visited this Burger King restaurant with my daughter and 3 grandchildren.  What service we got all for a bit of banter with the lovely ""young looking"" gentleman that served us.
Because we had a laugh , he very kindly gave us an upgrade on the...More",TripAdvisor
86,2017-08-21,"Went to Burger King for a quick meal with the family whilst in London. This establishment is perfectly situated on the corner of Leicester Square. Food was very tasty, fresh and promptly served. Only criticism is the state of the toilets and the distinct absence...More",TripAdvisor
87,2017-08-09,Loves Burger King I MySelf Prefer Mac D's Staff Were Helpful Food Was As It Always Is In a Burger Joint.,TripAdvisor
88,2017-08-06,"Central location, slow service, staff leaving shift with no replacements, average food, tables were dirty and 3 toilets in the ladies has no door and the others were dirty. Dreadful",TripAdvisor
89,2017-07-27,Just popped in out of the rain to have a quick bite to eat before watching a show. We were eating out after the show so didn't want a big meal. All good.,TripAdvisor
90,2017-06-19,When I went to burger king I got a great king chicken and it was yummy stupid Jessica thought it was disgusting,TripAdvisor
91,2017-06-17,"It's right in the action in Leicester Square. When we went it wasn't busy so we we served OK, no problems. 

I'd have given it 5 stars for just the food, mine was an Angus Burger, but it lost half a mark each for toilets...More",TripAdvisor
92,2017-05-30,We visited here after going to Ripleys Believe it or not. We had the burger king app on our phone so was  able to get 2 burgers and chips and a drink for around £7. The restaurant wasn't too busy and seemed pretty clean. There...More,TripAdvisor
93,2017-05-22,"Surprisingly good burgers. It's always busy and a line but when you've been out all day sightseeing  or out at the pubs, it a perfect spot to pick up a burger, especially if you are staying on around there as I was.",TripAdvisor
94,2017-05-21,"Staff forget to serve the food that I've ordered, slow service, not a good place to go to eat Burger King.",TripAdvisor
95,2017-05-09,"Terrible service, Moody rude and slow staff. Queuing is a nightmare. They charge for BBQ Sauce which no other burger king do. Food is always cold and seems to have been thrown at a wall before they give it to you.",TripAdvisor
96,2017-04-30,"burger king .....the ques are long the food is meh but the choice of drinks is great 
there was no ice upstairs but its no effort to go downstairs ,as a diabetic was with me the choice of sugar free drinks is amazing vanilla cherry...More",TripAdvisor
97,2017-04-26,"Ladies toilets here are really rather foul. No paper, floods, empty soap dispensers, one stool without a toilet seat and broken locks.

Service is not that great. A busy Sunday lunchtime and they just closed a till with no notice and made the long line...More",TripAdvisor
98,2017-04-12,"Both burgers were cool, fries were cold and soft drink was warm.
No ice available in both drinks machines upstairs.",TripAdvisor
99,2017-03-26,"Gone there for the first time today,  Arrogant sales man or manager sorry forgot his name he must be from Somalian  background or one of these countries very rude very arogant 

Bought a bottle of water paid £1.89/- as one of my family member was...More",TripAdvisor
100,2017-03-26,Needed to grab a quick bite before movie started. Quick efficient service restaurant clean. Great location.,TripAdvisor
101,2017-03-26,"I used to visit this place every weekend when I lived there for 3 years from 2011-2014! Even though the quality was just ok, the choices ,the prices and I don't know.... that sth that made me visit it very often... make me give it...More",TripAdvisor
102,2017-03-01,"We were in Leicester Square in December and decided to try here. The place was mental busy. So hard to get a seat once you manage to order. The food was nice, hot and tasty. Probably wouldn't be the best place to go with a...More",TripAdvisor
103,2017-01-18,"we were passing through Leicester square when we felt peckish. it was a cold night yet when we went in it was still cold.. we orfered a burger each when they camed tasteless.e o. the seating wasn't very omfortable.
thr one plus I could say.that...More",TripAdvisor
104,2017-01-07,Was here with my young daughter and her friend waiting  outside at the table when the Rudest person I have seen in all of England asked us to never come back here all because we forgot to throw our cups in the bin.We did intend...More,TripAdvisor
105,2017-01-04,I visited the Leicester Square branch in December with my wife and 4 year old child. The restaurant was completely mismanaged with at least 3 more people getting the wrong order or cold food. I ordered a burger and 6 cheese bites for my child....More,TripAdvisor
106,2016-12-23,Came here for lunch on a day out in London I had a chicken royal and so did my sister we were disappointed with this as it had one piece of lettuce in it and was basically just a plain chicken burger also the drinks...More,TripAdvisor
107,2016-12-20,"Hmm. What to say. Lots of food choices in and around Leicester Square. However, having a child we were somewhat dictated by nuggets. Burger King is normally pretty good and we thought as in a tourist area the food should be fresh. We couldn't be...More",TripAdvisor
108,2016-12-16,Just wanted a double cheese burger thought the king deal was £3 and ended up being £5.50. also ridiculously long wait! For a flagship location the service was SLOW then about an hour later i had to run back just to unload had a case...More,TripAdvisor
109,2016-11-22,"Hot food which was served quickly with a smile even at 2am.  It's kept very clean, even the tables are kept wiped down and bins emptied.  Ideal location, open late",TripAdvisor
110,2016-11-16,"5 stars not for the food which we didn't actually have.  No, we give it 5 stars because of the free toilets open for everyone to use.  This is a lifesaver, as central London is a nightmare to find loos",TripAdvisor
111,2016-11-15,"While in the centre of London shopping, we decided to pop into Burger King for something quick to eat as we would be dining out later that evening.
This Burger King is in a very busy location and staff are working under pressure. It offers...More",TripAdvisor
112,2016-11-01,Not one of the better BK experienced I've had. Burger was sloppy and falling to bits. Didn't really taste very fresh. Very disappointed,TripAdvisor
113,2016-10-27,"At the end of the day, it's just a Burger King but it is in a good location making it unbelievably busy.  Handy to grab a quick bite to eat and a drink but nothing fancy.",TripAdvisor
114,2016-10-20,"Yes this specific branch is in Leicester Square and so is bound to be super busy but that shouldn't be an excuse for unprofessional behaviour. Not super clean either. However, the food is great! The burgers and fries have almost always been super fresh!",TripAdvisor
115,2016-10-12,"Arrived in Leicester square, genuinely couldnt see a mcdonalds, both starving so thought we would try burger king and it was lush! Had the crossaint burger breakfast thing - sausage , really nice . Asked for hashbrowns x2 got nugget type hash browns but thoroughly...More",TripAdvisor
116,2016-10-06,"Very Busy .Clean .A lot of Staff ,Which all Polite and very helpful .Food Served  very Quick and all food Hot ..A visit is a must ....If you are wanting some food Quick ....",TripAdvisor
117,2016-09-22,like all burger outlets go one day  great go another time of day rubbish we were lucky busy but got good service and with the meal deal free refills on drinks great for a quick eat at a good price,TripAdvisor
118,2016-09-21,Clean and not bad service. Love the drink choices. Disorganised queue to get served & expensive prices makes it a 3* out of 5*.,TripAdvisor
119,2016-09-19,it was totally rad dude ive never had a better experience man the chips were 45% salt (just how daddy likes it) and the uniforms were so in vogue they couldve been designed by a kardashian ive never been more impressed.,TripAdvisor
120,2016-09-17,"Leicester Square is good-nice staff, excellent setting, great views and food that matches the rest.

I handed in one of those vouchers you get in the papers (promising discounted deals) in the Lewisham High Street branch and saw the manger (a young Indian man) look...More",TripAdvisor
121,2016-09-15,"This is the most awful BK I have ever been too, service was embarrassingly slow, the staff were miserable and uniform was filthy. Their was a massive que and all the staff were too busy messing about. It is a fast food establishment So not...More",TripAdvisor
122,2016-09-07,"Alternative
We were looking  for MC
By mistake we felt it is closed
There fore  we  choose BK
It Is good fair enough
The kids enjoy it
Service 7.5 of 10
Food good
Staff nice",TripAdvisor
123,2016-08-24,Very slow service. Expensive. Very busy. Staff always attempt to up sell. As you expect from BK really.,TripAdvisor
124,2016-08-23,"I went in for a quick food run.   We walk everywhere and my body gets all messed up with the time change when we first get to Europe.    This was a late night food run.  

The crowds were insane.  I am talking more like a...More",TripAdvisor
125,2016-08-19,"Very busy and the service is slow for a fast food outlet. Ideal location in Leicester Square, long queues at the soft drinks dispenser",TripAdvisor
126,2016-08-04,"Great burger king with outside seating, ideal for people watching. This is great budget alternative or just for a cheap snack! Does all the standard Burger King options and not at inflated prices like other chains do. If your looking for posh burgers use one...More",TripAdvisor
127,2016-07-31,The queue was long but the service was friendly and once I ordered the food it came out promptly. Ample of sitting upstairs but the soda machines were flat and a lot of the flavors out. Convenient for feeding an American 13 year old that...More,TripAdvisor
128,2016-07-28,"Service was good but gosh, the burgers and breakfast not a whit better than in American BKs, which I avoid assiduously. Plenty of seating upstairs.  For cheap calories walk a block and a half east to Wok on the Walk.",TripAdvisor
129,2016-07-27,"Visited twice on a  recent rip to London as it was convenient. Never again though. Was in a queue to be served waiting for about 10 / 15 minutes, with one person in front of me also waiting to order, the lady behind the till...More",TripAdvisor
130,2016-07-25,"Don't usually go to Burger King, even though we live in Florida, but as a last resort we broke down and thought we would just try and see what they were like in England, What a mistake. The service was not too bad but the...More",TripAdvisor
131,2016-07-23,The service was poor staff unhelpful the food was cold and one off the juice machines down stairs was empty making the queue on the other one very long took about 10mins to get juice,TripAdvisor
132,2016-07-18,I'm a vegetarian and I went to Burger King with some friends. I didn't want to however they did so I went anyway. We went for lunch during the 20min we had free. I ordered one of the few veggie meals available. Now being veggie...More,TripAdvisor
133,2016-07-15,In a great location. Food is good and what you would expect. Really hate the drinks machine. Had a coca-cola it was flat and had a taste of the previous persons drink of Powerade! Yuck!,TripAdvisor
134,2016-07-12,Recommend getting the Burger King app to avoid spending London prices- one meal was £6+ but using the app we managed to get 2 chicken royale meals for £6.99- bargain! Meals were good not had a royale in years! Managed to get a seat which...More,TripAdvisor
135,2016-07-08,"Bad Employees, very slow service. Dirty place.  The queue was extensive after 15 minutes  just one e ad server.avoid and head to Mcdonalds just round the corner",TripAdvisor
136,2016-06-27,"What's not to love in this glass, round corner building? If you need a quick break during shopping to eat a burger and fries, get your proteins, you might enjoy Burger King Leicester Square. That's fast food, tasty but fat, you know exactly what you...More",TripAdvisor
137,2016-06-19,I was surprised to find it easy to get a seat downstairs looking out onto Leicester Square on a Friday evening.  We just needed some fast food and certainly got that.  Most people will have their favourite BK burgers and there's little to judge between...More,TripAdvisor
138,2016-06-11,"Had nice experience in Burget King Leicester Square. Food was as good as  any other burger king, ambience was excellent. Will  visit again.",TripAdvisor
139,2016-06-10,"Perfect location on the way back to the hotel , late night snack needed and this place provided it, a burger and a wrap and very nice it was as well, not sure about the security on the door but I suppose that is big...More",TripAdvisor
140,2016-06-06,"I witnessed staff abuse an old man for taking shelter in the shade on a hot day and another employee with a mop, continually hit my chair inside the restaurant when trying to eat their products.
The old man stuck up for himself which I...More",TripAdvisor
141,2016-05-14,"Popped in for a quick bit same as any other Burger King 
Clean and food served quick but very busy lots of tourists",TripAdvisor
142,2016-05-14,"Whilst not 5 star dining, great for a quick snack before a show or something afterwards.
Used the free wifi - but this is very unreliable - so don't rely upon it.
Suggest you be realistic here as always very busy.",TripAdvisor
143,2016-04-11,Came here for Lunch AND FOUND IT WAS BUSY-Yet no tables to sit down EXCEPT Kids on their phones using the free WIFI-no food or drinks!!!! Should not be allowed unless eating!! Taking up Tables. We found the CHIPS were cold and had to take...More,TripAdvisor
144,2016-04-10,Got to love Burger King and great place to get quick fast food. Place ain't to big and is always busy and you may have to wait a little bit to get your food or to be served that's because of the location. Patience is...More,TripAdvisor
145,2016-04-07,"Very quick service, even when busy. Friendly staff. Food was freshly cooked and hot! Delish.. Defo return for fast food",TripAdvisor
146,2016-03-31,local off shoot of the chain provides the same menu in a convenient location.ok for fast cheap eats..near mant movie theaters ..great for kids,TripAdvisor
147,2016-03-15,"Usual fast food place, service was friend and fast. Does get busy but plenty of seating available. Choice of soft drinks various flavours of coke etc not just the usual regular and diet.",TripAdvisor
148,2016-02-20,"I went to the burger located in Leicester Square last Thursday (18.02) night, about 11pm. My purse was stolen while I was eating and when the police went to check the security cameras in the place some were not even working!!!!! As the staff said,...More",TripAdvisor
149,2016-02-17,Good place to be for a cheap meal and if you do not like signing up to get free wifi. Only have to agree to T&C,TripAdvisor
150,2016-02-05,"Tasty food, quick service. Great place to pop in for a quick meal before carrying on sight seeing. Great choice on menu, loved the orange coke.",TripAdvisor
151,2016-01-20,It's was a Saturday & very busy as its the Festival of Lights in London. It is still clean & staff manage to cope with the customers. The toilet is clean & staff are so efficient.,TripAdvisor
